"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - loss_to_report_val","Name: hopfield_full - loss_to_report_val__MIN","Name: hopfield_full - loss_to_report_val__MAX"
"246","492","492","492","0.14613397875985923","0.1448730569858519","0.1475740532883787"
"247","494","494","494","0.1464355149062901","0.14476323943144434","0.1482151396518948"
"248","496","496","496","0.14717428025006057","0.14449230952683814","0.14931767539992657"
"249","498","498","498","0.14709916059730702","0.1448332997738086","0.14914416483864448"
"250","500","500","500","0.1480582460033381","0.14493160289936233","0.15008483543505993"
"251","502","502","502","0.14688172706864605","0.1455471945767605","0.149449648965283"
"252","504","504","504","0.14659214208107185","0.14593906414689423","0.14740490431224665"
"253","506","506","506","0.14808519443616935","0.14654359954302584","0.1497569117045095"
"254","508","508","508","0.14803754846739836","0.14509617952236964","0.15045592943138383"
"255","510","510","510","0.14638465070086068","0.14284044753093106","0.14765027506539927"
"256","512","512","512","0.14657581893468097","0.1448986895124853","0.14765906305357968"
"257","514","514","514","0.14670877104735644","0.14279322666260086","0.15072152899804375"
"258","516","516","516","0.14869599318307253","0.14463865388339356","0.15093708365360534"
"259","518","518","518","0.1473963242749858","0.14480583440341482","0.15277662865438651"
"260","520","520","520","0.146274679130939","0.14580456936513714","0.14716184767657245"
"261","522","522","522","0.14767563765090724","0.14583294521050943","0.1496641778132045"
"262","524","524","524","0.1470261314010472","0.14313145521359238","0.1501357041568242"
"263","526","526","526","0.147293975630238","0.14426255445564168","0.14938739155858632"
"264","528","528","528","0.14712678635689708","0.14468202941326513","0.1502633184385963"
"265","530","530","530","0.14674452472752267","0.1458698866862932","0.14876349196977914"
"266","532","532","532","0.14769417343313615","0.1442204500883167","0.15073194303481147"
"267","534","534","534","0.14827137004793553","0.14533710346416026","0.1509952769872961"
"268","536","536","536","0.14766789386270016","0.14586161916055337","0.14962438017931268"
"269","538","538","538","0.1489264544202349","0.14707948579032568","0.1522783204921891"
"270","540","540","540","0.14773696389409618","0.14669469907686808","0.14822517557325418"
"271","542","542","542","0.1475834939847044","0.14510912021333755","0.15095120908604626"
"272","544","544","544","0.14695881977649916","0.14541019643388203","0.14837859933283287"
"273","546","546","546","0.14780861123689504","0.1452015008871168","0.15078913988041323"
"274","548","548","548","0.1473079417494637","0.14657258784205604","0.14785738617030403"
"275","550","550","550","0.14839631099911768","0.1449540434067294","0.15120326498713077"
"276","552","552","552","0.14981970031184172","0.14691743125995943","0.15228655426667148"
"277","554","554","554","0.14917830484065972","0.14700435256237016","0.151776026573936"
"278","556","556","556","0.14849973519313373","0.1461350188108573","0.15168995963138948"
"279","558","558","558","0.1483082531559437","0.1442870280574545","0.15064003488748026"
"280","560","560","560","0.14909228754306064","0.14644738711326324","0.15171147470130683"
"281","562","562","562","0.14719980009768588","0.145694735757937","0.1515333699298867"
"282","564","564","564","0.14777901928510123","0.1452158155415022","0.15079348848227614"
"283","566","566","566","0.1479088551965815","0.14588362007828265","0.14986416411067163"
"284","568","568","568","0.14923227927938196","0.14787617443141363","0.15106352912498133"
"285","570","570","570","0.14824999501492603","0.14406208429140485","0.1515468218705031"
"286","572","572","572","0.14805767542727408","0.14539806330948912","0.1508024292831545"
"287","574","574","574","0.14689216027865998","0.14506139091764417","0.1483378057285327"
"288","576","576","576","0.14794155294878003","0.14734166033591117","0.1487908949569361"
"289","578","578","578","0.14815993562961555","0.1459146382589338","0.15132859657320394"
"290","580","580","580","0.147917588303668","0.14415624704771082","0.1521342104137045"
"291","582","582","582","0.15034098634438164","0.1472589174630804","0.15507777664157935"
"292","584","584","584","0.14938069869408793","0.1450725163414234","0.153077350640145"
"293","586","586","586","0.1472850592427701","0.14310357340363772","0.15087083267225143"
"294","588","588","588","0.14827081320877186","0.1450491756669767","0.14994815933744082"
"295","590","590","590","0.14944544707016857","0.1486837795743836","0.15101255362619853"
"296","592","592","592","0.1481077309327314","0.14748283542279134","0.14877099532734797"
"297","594","594","594","0.1468158747418909","0.14303239637552428","0.1494303386016668"
"298","596","596","596","0.1486004456420031","0.14537363373139103","0.15036304986242466"
"299","598","598","598","0.1464147501147754","0.14252994622806214","0.15048151507351745"
"300","600","600","600","0.14692300127024369","0.14475896583585351","0.14873539362274643"
"301","602","602","602","0.14738657253346726","0.1417834217946353","0.15046563215766098"
"302","604","604","604","0.14816255686549096","0.14612762594156242","0.15056354586387835"
"303","606","606","606","0.14784899612755142","0.14604560195541055","0.14941992857349498"
"304","608","608","608","0.1466958477260462","0.14446143632796823","0.1486899679297729"
"305","610","610","610","0.14981207394189952","0.14726533651648305","0.15142302216604533"
"306","612","612","612","0.1470641058038415","0.14406860622559625","0.1496406169873625"
"307","614","614","614","0.14660604408473216","0.1453922600775733","0.14747577120627506"
"308","616","616","616","0.14735276718884296","0.14553619830723918","0.14880920164761738"
"309","618","618","618","0.14770344280334136","0.1447300606821112","0.1517175881104207"
"310","620","620","620","0.14635017652827567","0.14429668215887212","0.14913697109350016"
"311","622","622","622","0.14799184993407086","0.1470334244357275","0.1491218102627747"
"312","624","624","624","0.14709359522172197","0.144486778730306","0.14946333581238994"
"313","626","626","626","0.14999621200936164","0.1445630368883028","0.15476452636363908"
"314","628","628","628","0.146503729228081","0.14439968949365847","0.14852552348451536"
"315","630","630","630","0.1452971416565831","0.14384182244382865","0.1473214537090489"
"316","632","632","632","0.14769345885310675","0.14638303776930048","0.14959659487240456"
"317","634","634","634","0.14917694891800667","0.14719205240671582","0.15240862774608058"
"318","636","636","636","0.14867667191888823","0.14541086738226175","0.15063038809802953"
"319","638","638","638","0.14870010248853055","0.14370185472775346","0.1511543202918426"
"320","640","640","640","0.14901728831170769","0.14688023875630832","0.15157283792928145"
"321","642","642","642","0.14886969013360854","0.14591855732700096","0.1518202764717888"
"322","644","644","644","0.1485255426855292","0.14556167341679002","0.15050898443102392"
"323","646","646","646","0.147680240508721","0.14662925102043406","0.14914578491458877"
"324","648","648","648","0.14852457150407214","0.14462002468129506","0.15153678358211822"
"325","650","650","650","0.1476506359585443","0.1443809463413457","0.15141294777368047"
"326","652","652","652","0.1473425775470542","0.14565013906377772","0.14886848420109258"
"327","654","654","654","0.14930667916280585","0.1476172335488097","0.15325221213743892"
"328","656","656","656","0.14936311714034387","0.14808142150971543","0.15034778816771718"
"329","658","658","658","0.14828933767817593","0.1441284370269853","0.14981761111314304"
"330","660","660","660","0.14714248663933643","0.143951355728056","0.14870656386982573"
"331","662","662","662","0.14918123735140448","0.14527968270097552","0.15192926048916436"
"332","664","664","664","0.14913715110486742","0.14420445167504733","0.15307388874108016"
"333","666","666","666","0.14804370915066753","0.14716603211544038","0.1491999936355785"
"334","668","668","668","0.14953269443023404","0.14543366104625077","0.15273144363860922"
"335","670","670","670","0.14731465552345976","0.14432195024868427","0.15045876803883154"
"336","672","672","672","0.14742264527659169","0.1425945150620866","0.15200934264089738"
"337","674","674","674","0.14869815607164294","0.1443815822410297","0.1537370302647124"
"338","676","676","676","0.14777603676430515","0.14565862110370717","0.14936921805084177"
"339","678","678","678","0.1489556069922074","0.145908167331816","0.15182315795210916"
"340","680","680","680","0.14839752198053136","0.1458901889346992","0.1502304371814657"
"341","682","682","682","0.14822483720543259","0.1472997501044817","0.1502247266187631"
"342","684","684","684","0.14890096915631487","0.14753724636608245","0.15109867747368602"
"343","686","686","686","0.1486778632395847","0.14499055917154935","0.15276136354503034"
"344","688","688","688","0.1482246407816084","0.144768599275155","0.14973799002519092"
"345","690","690","690","0.14771463713631375","0.14693807421457014","0.14835417979352059"
"346","692","692","692","0.14821976596004066","0.1472815164239882","0.1492128880579309"
"347","694","694","694","0.1475333730911988","0.1447105789488546","0.14976271307188682"
"348","696","696","696","0.14867788521409825","0.14587242983685977","0.15070910458691417"
"349","698","698","698","0.14601937751069438","0.14300230421876556","0.14885847248724135"
"350","700","700","700","0.14873425828361228","0.14460154934415617","0.15195587651525896"
"351","702","702","702","0.1479873032470267","0.14565308252265505","0.15085573331252627"
"352","704","704","704","0.1492409444241387","0.14657779316719127","0.15358196379915479"
"353","706","706","706","0.1485808600717335","0.14711622723232845","0.15017215003142603"
"354","708","708","708","0.14839097359753659","0.14719851879202098","0.14993759747102095"
"355","710","710","710","0.14866057526882973","0.14632621176329322","0.1498301672254911"
"356","712","712","712","0.14727596484891753","0.14324520170469443","0.15293072729431098"
"357","714","714","714","0.14842401124651747","0.14708124490878174","0.1504653034194085"
"358","716","716","716","0.14824871391319924","0.14532911112235863","0.15109449366461494"
"359","718","718","718","0.14870719462590967","0.14651638450505658","0.1502035406741084"
"360","720","720","720","0.148928581687141","0.14389991463162533","0.15234498458352347"
"361","722","722","722","0.1494272341666857","0.14506719714461835","0.15396438621281047"
"362","724","724","724","0.15071264334394363","0.14650807646462022","0.15327516433452773"
