"epoch","wurdinger_fnn_testset.yaml - _step","wurdinger_fnn_testset.yaml - _step__MIN","wurdinger_fnn_testset.yaml - _step__MAX","wurdinger_fnn_testset.yaml - loss_to_report_val","wurdinger_fnn_testset.yaml - loss_to_report_val__MIN","wurdinger_fnn_testset.yaml - loss_to_report_val__MAX"
"245","490","490","490","0.13297640299744856","0.1307774367116576","0.13542489939580427"
"246","492","492","492","0.132181690726475","0.130094536768313","0.13438285046429607"
"247","494","494","494","0.13238748208175308","0.13060506410239606","0.1335250084880621"
"248","496","496","496","0.13191264427312913","0.1310004057816697","0.1337773328838017"
"249","498","498","498","0.13147757582444725","0.12938103812503435","0.13355635570799462"
"250","500","500","500","0.13166540501461205","0.12888128655729028","0.13451808231516146"
"251","502","502","502","0.13238067912534537","0.13021034817995353","0.13420893229443911"
"252","504","504","504","0.13240606730211274","0.13102309569909532","0.13394632181835345"
"253","506","506","506","0.13229305638976185","0.1302082785789628","0.13642006133922258"
"254","508","508","508","0.13258635122100682","0.13005900070248488","0.13540320291248834"
"255","510","510","510","0.13299734653558132","0.13086678441262517","0.13686857716158174"
"256","512","512","512","0.132220155154729","0.1308719093776684","0.13341864789749558"
"257","514","514","514","0.13245190299746032","0.13116154457726423","0.13509489091301552"
"258","516","516","516","0.1321531792501695","0.13077789417913585","0.13344536696930268"
"259","518","518","518","0.13183182931561027","0.12975420644832114","0.13308378370237176"
"260","520","520","520","0.13182515719674487","0.1293824852460824","0.13356674490429477"
"261","522","522","522","0.13238485693343272","0.13010858638194003","0.13565408021975076"
"262","524","524","524","0.13232311941632585","0.12989687671895736","0.13543829224744686"
"263","526","526","526","0.13193353266063812","0.12935159784238925","0.1346047719485888"
"264","528","528","528","0.13205126438803957","0.13022924274832137","0.13310056870210438"
"265","530","530","530","0.13217386869336178","0.12983435846945937","0.13507793778164326"
"266","532","532","532","0.1324112819772765","0.1305915420635839","0.1349576797177174"
"267","534","534","534","0.13191361672788643","0.12908352514346352","0.1342381413369425"
"268","536","536","536","0.1316414218906521","0.1294403771217028","0.13353857373597777"
"269","538","538","538","0.133006921773207","0.1298545928320412","0.13513611546020923"
"270","540","540","540","0.13262278596164426","0.12997262341101626","0.13489341819426237"
"271","542","542","542","0.13191435879049945","0.1302341223256895","0.13375335301016095"
"272","544","544","544","0.1323356437261917","0.13065894925976515","0.1341750356785404"
"273","546","546","546","0.13112041997066587","0.12950248961336494","0.1320986184291551"
"274","548","548","548","0.13203759173803273","0.12975345947826433","0.13403128970931588"
"275","550","550","550","0.13204187008565932","0.1307638021924701","0.1347277993561083"
"276","552","552","552","0.1320730799533234","0.12852383083748814","0.1385903691933526"
"277","554","554","554","0.13184092417937826","0.13048133992950633","0.13320639970045534"
"278","556","556","556","0.13123299475355615","0.12971726822324958","0.13362893484436653"
"279","558","558","558","0.13154445938262854","0.1287893561285201","0.13550052007837593"
"280","560","560","560","0.13160223813015812","0.1287931310105348","0.13351941024520386"
"281","562","562","562","0.1321402088375817","0.1301737734908191","0.1340094295011257"
"282","564","564","564","0.1320581187430744","0.12880311958890237","0.13586059182124502"
"283","566","566","566","0.13209623253142938","0.13111486972975656","0.13346848666351788"
"284","568","568","568","0.13168351638225007","0.12980820626250697","0.1339800644227774"
"285","570","570","570","0.13198299253808804","0.129003056330067","0.1341461210342757"
"286","572","572","572","0.13226468493692417","0.12890090379542082","0.13587158054958506"
"287","574","574","574","0.13187470090257364","0.12932813865464285","0.1343989786779251"
"288","576","576","576","0.13169124187121342","0.1301329875276027","0.1348067713601065"
"289","578","578","578","0.1319388254538632","0.13102928001737468","0.13370061855809529"
"290","580","580","580","0.1315320122009087","0.12981232749484073","0.13305685350558802"
"291","582","582","582","0.13176616517833578","0.12953760048179047","0.1333913124842474"
"292","584","584","584","0.1313930820274505","0.12931467063327998","0.13263795020159388"
"293","586","586","586","0.1315655253745271","0.129498603209768","0.13370935426333952"
