"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"278","556","556","556","0.8724261419026795","0.8688776393724899","0.8773146473036715"
"279","558","558","558","0.8709185367225947","0.8681551140153462","0.8734064990653782"
"280","560","560","560","0.8704313554771652","0.8669136496502421","0.8740804146594804"
"281","562","562","562","0.8724194731740129","0.8708799268037619","0.8739583024044983"
"282","564","564","564","0.8726284163175816","0.8718593761035625","0.8734792005676016"
"283","566","566","566","0.8724276100361454","0.8719688426696306","0.8729136001241199"
"284","568","568","568","0.8720965643871027","0.8684521591564415","0.8751157403326334"
"285","570","570","570","0.8725513454983513","0.870534684341725","0.8766805535628532"
"286","572","572","572","0.8716613970305547","0.8674049111868586","0.8744824904681909"
"287","574","574","574","0.8711295875905808","0.8671627812344833","0.8740306164634998"
"288","576","576","576","0.8702388155142373","0.8650830787752276","0.8739409538715992"
"289","578","578","578","0.8727499632128903","0.8716755599019378","0.8733918030363189"
"290","580","580","580","0.8704778519599902","0.867265552191909","0.8737509172344302"
"291","582","582","582","0.8717891030068516","0.8680146599566722","0.8740884050603982"
"292","584","584","584","0.8722725099107377","0.8713139091645755","0.8729699264832226"
"293","586","586","586","0.8726519269398703","0.870170167040791","0.8747661779724076"
"294","588","588","588","0.8726624166374467","0.8711672381081006","0.874497291792525"
"295","590","590","590","0.8721457509883234","0.8699123847749763","0.8741511941084673"
"296","592","592","592","0.8713934070689756","0.8686263190222946","0.875363222519604"
"297","594","594","594","0.8715378583727933","0.865770367396177","0.8772338688145652"
"298","596","596","596","0.8727528910382378","0.8704244959393753","0.8754834716395107"
"299","598","598","598","0.8728545360037548","0.8715302471254419","0.8742655344411441"
"300","600","600","600","0.8713923476414817","0.8669452870541055","0.8737786191844418"
"301","602","602","602","0.8727222941710568","0.8710702070296268","0.8751500932642232"
"302","604","604","604","0.8733877500924306","0.871763714803637","0.8760012621688272"
"303","606","606","606","0.8720503744408366","0.8690957261750837","0.8759110531164563"
"304","608","608","608","0.8721758803863636","0.8715216706808393","0.8733046444670032"
"305","610","610","610","0.8707346089432864","0.866406083481747","0.8730217790608958"
"306","612","612","612","0.8715349504448439","0.8692349182134177","0.8732437757315908"
"307","614","614","614","0.8720775035805828","0.8680992624459993","0.8747459963413167"
