"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"225","450","450","450","0.14830691426510784","0.14603670203888036","0.15193246253497317"
"226","452","452","452","0.1480292015759595","0.14441488147381717","0.1507500393386537"
"227","454","454","454","0.1502833974600234","0.14812946010288522","0.15316655132856444"
"228","456","456","456","0.14792694972349651","0.14534152671738418","0.1505706827402355"
"229","458","458","458","0.14872885912372935","0.1452569086871097","0.15131232523889998"
"230","460","460","460","0.14880870585397138","0.14608100251083395","0.1525589160237955"
"231","462","462","462","0.14915971589208935","0.14774796948427246","0.15215312657554889"
"232","464","464","464","0.14885771734778555","0.14561602201074314","0.15282496588299052"
"233","466","466","466","0.14838310731673804","0.14317839812945574","0.1519802291297534"
"234","468","468","468","0.1484633063510792","0.1462303256674855","0.15035141956798725"
"235","470","470","470","0.1501400453265612","0.14833496299683788","0.15409959134912782"
"236","472","472","472","0.14852789111535541","0.14644610659044185","0.1506123206788258"
"237","474","474","474","0.1489742683638833","0.14831235199171922","0.1501206897271564"
"238","476","476","476","0.14862207107924613","0.1477331559341219","0.14925045527135972"
"239","478","478","478","0.1499888451387273","0.14696141719871647","0.1557895935577376"
"240","480","480","480","0.14867868577243648","0.14745245515269975","0.14961769908402336"
"241","482","482","482","0.14821449615987614","0.1458445413658526","0.1513284326613888"
"242","484","484","484","0.14925850666310259","0.14729732510745738","0.15423423182003826"
"243","486","486","486","0.14829759763136727","0.1472592657707405","0.1499873753049105"
"244","488","488","488","0.15042403759333056","0.14903596225345483","0.1524352639639799"
"245","490","490","490","0.14840029291981052","0.14686307522198394","0.15117398092172374"
"246","492","492","492","0.1511676566598647","0.14707577512925377","0.1566601152579254"
"247","494","494","494","0.1503446304954248","0.1492121915665627","0.1522916025387631"
"248","496","496","496","0.1485170092669893","0.14535246314364098","0.15067055083098352"
"249","498","498","498","0.1501546330169457","0.14768213444764042","0.1525400544108966"
"250","500","500","500","0.15032104989879402","0.14913650668365352","0.15182666188374058"
"251","502","502","502","0.14867474343303683","0.1465882647661092","0.15028373357311708"
"252","504","504","504","0.14918704869853816","0.14560323656681814","0.15350325133388515"
"253","506","506","506","0.14960824994590943","0.147722563987818","0.15196790825344314"
"254","508","508","508","0.15059215499984793","0.14922274940707356","0.15224168891227038"
"255","510","510","510","0.14883456661338734","0.14722071343130635","0.150344574277278"
"256","512","512","512","0.14980303082947688","0.14579986012936225","0.15418570189485897"
"257","514","514","514","0.15014677244170643","0.14693230355507844","0.15314146608568832"
"258","516","516","516","0.15148435368978966","0.14716229777875883","0.15560062130696614"
"259","518","518","518","0.14876758059526576","0.14608072001810138","0.15154304666592014"
"260","520","520","520","0.14884690680422613","0.14610017663054803","0.15110544955374886"
"261","522","522","522","0.14967613582823547","0.14675859657421148","0.15204694704008753"
"262","524","524","524","0.1500501748726241","0.14722045003816048","0.15240869701676638"
"263","526","526","526","0.14984113200010232","0.14679376418749177","0.15161213563679712"
"264","528","528","528","0.1493272767436987","0.14741504892228358","0.15053614755815545"
"265","530","530","530","0.148091930575211","0.1457854743862045","0.15001342745590393"
"266","532","532","532","0.14918519978261338","0.1462903773201422","0.15114391269732871"
"267","534","534","534","0.14924587387809277","0.14701557130660056","0.15128473832235295"
"268","536","536","536","0.14903473172160345","0.1460553930735312","0.15158006179629077"
"269","538","538","538","0.15035021790476963","0.1470514196795631","0.15389020714169196"
"270","540","540","540","0.1511759459511459","0.14757304439717456","0.15451680320427713"
"271","542","542","542","0.15137409301821222","0.1487038198568316","0.15474166685326446"
"272","544","544","544","0.15022938408065328","0.14774572948804235","0.1524640474211858"
"273","546","546","546","0.1512726865425998","0.14949454105984403","0.15353693317180545"
