"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - ci_val","Name: hopfield_prot - ci_val__MIN","Name: hopfield_prot - ci_val__MAX"
"342","684","684","684","0.873351617627636","0.8678956671514381","0.8776102948830375"
"343","686","686","686","0.8716775607808648","0.8654904739712616","0.8752995365197151"
"344","688","688","688","0.8717322264353834","0.8692451775411479","0.8748286138856533"
"345","690","690","690","0.8717927787633908","0.8671847943834249","0.8771904052971662"
"346","692","692","692","0.871834143977296","0.8669577809457888","0.8759549349409755"
"347","694","694","694","0.8719352138181564","0.868856865864259","0.875373963596752"
"348","696","696","696","0.872309319372915","0.8715166999195851","0.8736614628080488"
"349","698","698","698","0.8732512944326363","0.8687790272307523","0.879599959339093"
"350","700","700","700","0.8730996214840137","0.8713830860503068","0.8747555283107686"
"351","702","702","702","0.8713381145834906","0.8699422771483689","0.8743146750532474"
"352","704","704","704","0.8710529877790678","0.8646519204949238","0.8746628826212168"
"353","706","706","706","0.8708386915375594","0.8650551497068004","0.8745814776230617"
"354","708","708","708","0.871844513494134","0.8696333503404338","0.8755747809977916"
"355","710","710","710","0.8725973242973069","0.8693393288419221","0.8769205425065352"
"356","712","712","712","0.8719937567476","0.869810530507246","0.8756616718082448"
"357","714","714","714","0.8729772631127476","0.8706214192074432","0.8762711765183562"
"358","716","716","716","0.8723872623098504","0.8692139107952402","0.8763310110035275"
"359","718","718","718","0.8721303664371616","0.869945136886669","0.8752026143961509"
"360","720","720","720","0.8725961250098025","0.8671434034308101","0.8753734120033019"
"361","722","722","722","0.871193754423367","0.8678696976319977","0.8748715357365949"
"362","724","724","724","0.871466964799853","0.8656049401654204","0.8759644568106798"
"363","726","726","726","0.8733057966477258","0.8677663330751816","0.8767326243061033"
"364","728","728","728","0.8719330969972401","0.8667927691434106","0.8753575014218979"
"365","730","730","730","0.872233871334743","0.8669074055123872","0.8744638678690728"
